15_37	saber	eles/as (vcs) | pessoal infinitivo	saberem	for them to talk
16_1	conhecer	eu | presente	conheço	I talk
16_2	conhecer	ele/a (vc) | presente	conhece	he talks
16_3	conhecer	nós | presente	conhecemos	we talk
16_4	conhecer	eles/as (vcs) | presente	conhecem	they talk
16_5	conhecer	eu | imperfeito	conhecia	I used to talk
16_6	conhecer	ele/a (vc) | imperfeito	conhecia	he used to talk
16_7	conhecer	nós | imperfeito	conhecíamos	we used to talk
16_8	conhecer	eles/as (vcs) | imperfeito	conheciam	they used to talk
16_9	conhecer	eu | pretérito	conheci	I talked
16_10	conhecer	ele/a (vc) | pretérito	conheceu	he talked
16_11	conhecer	nós | pretérito	conhecemos	we talked
16_12	conhecer	eles/as (vcs) | pretérito	conheceram	they talked
16_13	conhecer	eu | condicional	conheceria	I would talk
16_14	conhecer	ele/a (vc) | condicional	conheceria	he would talk
16_15	conhecer	nós | condicional	conheceríamos	we would talk
16_16	conhecer	eles/as (vcs) | condicional	conheceriam	they would talk
16_17	conhecer	ele/a (vc) | imperativo	conheça	talk!
16_18	conhecer	nós | imperativo	conheçamos	talk!
16_19	conhecer	eles/as (vcs) | imperativo	conheçam	talk!
16_20	conhecer	| gerundo	conhecendo	talking
16_21	conhecer	| particípio	conhecido	talked
16_22	conhecer	eu | presente subjuntivo	conheça	(that) I talk
16_23	conhecer	ele/a (vc) | presente subjuntivo	conheça	(that) he talk
16_24	conhecer	nós | presente subjuntivo	conheçamos	(that) we talk
16_25	conhecer	eles/as (vcs) | presente subjuntivo	conheçam	(that) they talk
16_26	conhecer	eu | imperfeito subjuntivo	conhecesse	(if) I talked
16_27	conhecer	ele/a (vc) | imperfeito subjuntivo	conhecesse	(if) he talked
16_28	conhecer	nós | imperfeito subjuntivo	conhecêssemos	(if) we talked
16_29	conhecer	eles/as (vcs) | imperfeito subjuntivo	conhecessem	(if) they talked
16_30	conhecer	eu | futuro subjuntivo	conhecer	if/when I talk
16_31	conhecer	ele/a (vc) | futuro subjuntivo	conhecer	if/when he talks
16_32	conhecer	nós | futuro subjuntivo	conhecermos	if/when we talk
16_33	conhecer	eles/as (vcs) | futuro subjuntivo	conhecerem	if/when they talk
16_34	conhecer	eu | pessoal infinitivo	conhecer	for me to talk
16_35	conhecer	ele/a (vc) | pessoal infinitivo	conhecer	for him to talk
16_36	conhecer	nós | pessoal infinitivo	conhecermos	for us to talk
16_37	conhecer	eles/as (vcs) | pessoal infinitivo	conhecerem	for them to talk
17_1	poder	eu | presente	posso	I talk
17_2	poder	ele/a (vc) | presente	pode	he talks
17_3	poder	nós | presente	podemos	we talk
17_4	poder	eles/as (vcs) | presente	podem	they talk
