rever	revejo	revê	revemos	reveem	revia	revia	revíamos	reviam	revi	reviu	revimos	reviram	reveria	reveria	reveríamos	reveriam	reveja	revejamos	revejam	revendo	revisto	reveja	reveja	revejamos	revejam	revisse	revisse	revíssemos	revissem	rever	rever	revermos	reverem	rever	rever	revermos	reverem
trazer	trago	traz	trazemos	trazem	trazia	trazia	trazíamos	traziam	trouxe	trouxe	trouxemos	trouxeram	traria	traria	traríamos	trariam	traga	tragamos	tragam	trazendo	trazido	traga	traga	tragamos	tragam	trouxesse	trouxesse	trouxéssemos	trouxessem	trouxer	trouxer	trouxermos	trouxerem	trazer	trazer	trazermos	trazerem
crer	creio	crê	cremos	creem	cria	cria	críamos	criam	cri	creu	cremos	creram	creria	creria	creríamos	creriam	creia	creiamos	creiam	crendo	crido	creia	creia	creiamos	creiam	cresse	cresse	crêssemos	cressem	crer	crer	crermos	crerem	crer	crer	crermos	crerem
descrer	descreio	descrê	descremos	descreem	descria	descria	descríamos	descriam	descri	descreu	descremos	descreram	descreria	descreria	descreríamos	descreriam	descreia	descreiamos	descreiam	descrendo	descrido	descreia	descreia	descreiamos	descreiam	descresse	descresse	descrêssemos	descressem	descrer	descrer	descrermos	descrerem	descrer	descrer	descrermos	descrerem
prever	prevejo	prevê	prevemos	preveem	previa	previa	prevíamos	previam	previ	previu	previmos	previram	preveria	preveria	preveríamos	preveriam	preveja	prevejamos	prevejam	prevendo	previsto	preveja	preveja	prevejamos	prevejam	previsse	previsse	prevíssemos	previssem	prever	prever	prevermos	preverem	prever	prever	prevermos	preverem
abrir	abro	abre	abrimos	abrem	abria	abria	abríamos	abriam	abri	abriu	abrimos	abriram	abriria	abriria	abriríamos	abririam	abra	abramos	abram	abrindo	aberto	abra	abra	abramos	abram	abrisse	abrisse	abríssemos	abrissem	abrir	abrir	abrirmos	abrirem	abrir	abrir	abrirmos	abrirem
pôr	ponho	põe	pomos	põem	punha	punha	púnhamos	punham	pus	pôs	pusemos	puseram	poria	poria	poríamos	poriam	ponha	ponhamos	ponham	pondo	posto	ponha	ponha	ponhamos	ponham	pusesse	pusesse	puséssemos	pusessem	puser	puser	pusermos	puserem	pôr	pôr	pormos	porem
construir	construo	constrói	construímos	constroem	construía	construía	construíamos	construíam	construí	construiu	construímos	construíram	construiria	construiria	construiríamos	construiriam	construa	construamos	construam	construindo	construído	construa	construa	construamos	construam	construísse	construísse	construíssemos	construíssem	construir	construir	construirmos	construírem	construir	construir	construirmos	construírem
destruir	destruo	destrói	destruímos	destroem	destruía	destruía	destruíamos	destruíam	destruí	destruiu	destruímos	destruíram	destruiria	destruiria	destruiríamos	destruiriam	destrua	destruamos	destruam	destruindo	destruído	destrua	destrua	destruamos	destruam	destruísse	destruísse	destruíssemos	destruíssem	destruir	destruir	destruirmos	destruírem	destruir	destruir	destruirmos	destruírem
fazer	faço	faz	fazemos	fazem	fazia	fazia	fazíamos	faziam	fiz	fez	fizemos	fizeram	faria	faria	faríamos	fariam	faça	façamos	façam	fazendo	feito	faça	faça	façamos	façam	fizesse	fizesse	fizéssemos	fizessem	fizer	fizer	fizermos	fizerem	fazer	fazer	fazermos	fazerem
dizer	digo	diz	dizemos	dizem	dizia	dizia	dizíamos	diziam	disse	disse	dissemos	disseram	diria	diria	diríamos	diriam	diga	digamos	digam	dizendo	dito	diga	diga	digamos	digam	dissesse	dissesse	disséssemos	dissessem	disser	disser	dissermos	disserem	dizer	dizer	dizermos	dizerem
pedir	peço	pede	pedimos	pedem	pedia	pedia	pedíamos	pediam	pedi	pediu	pedimos	pediram	pediria	pediria	pediríamos	pediriam	peça	peçamos	peçam	pedindo	pedido	peça	peça	peçamos	peçam	pedisse	pedisse	pedíssemos	pedissem	pedir	pedir	pedirmos	pedirem	pedir	pedir	pedirmos	pedirem
medir	meço	mede	medimos	medem	media	media	medíamos	mediam	medi	mediu	medimos	mediram	mediria	mediria	mediríamos	mediriam	meça	meçamos	meçam	medindo	medido	meça	meça	meçamos	meçam	medisse	medisse	medíssemos	medissem	medir	medir	medirmos	medirem	medir	medir	medirmos	medirem
haver	hei	há	havemos	hão	havia	havia	havíamos	haviam	houve	houve	houvemos	houveram	haveria	haveria	haveríamos	haveriam	haja	hajamos	hajam	havendo	havido	haja	haja	hajamos	hajam	houvesse	houvesse	houvéssemos	houvessem	houver	houver	houvermos	houverem	haver	haver	havermos	haverem
caber	caibo	cabe	cabemos	cabem	cabia	cabia	cabíamos	cabiam	coube	coube	coubemos	couberam	caberia	caberia	caberíamos	caberiam	caiba	caibamos	caibam	cabendo	cabido	caiba	caiba	caibamos	caibam	coubesse	coubesse	coubéssemos	coubessem	couber	couber	coubermos	couberem	caber	caber	cabermos	caberem
valer	valho	vale	valemos	valem	valia	valia	valíamos	valiam	vali	valeu	valemos	valeram	valeria	valeria	valeríamos	valeriam	valha	valhamos	valham	valendo	valido	valha	valha	valhamos	valham	valesse	valesse	valêssemos	valessem	valer	valer	valermos	valerem	valer	valer	valermos	valerem
